Query_ID,Identity_ID,Name,Image_Type,Priority,Query
Q000001,ID000001,Aaron Judge,Real,1,Aaron Judge
Q000002,ID000001,Aaron Judge,Fake,1,Aaron Judge AI generated
Q000003,ID000001,Aaron Judge,Fake,2,Aaron Judge deepfake
Q000004,ID000001,Aaron Judge,Fake,3,Aaron Judge AI image
Q000005,ID000001,Aaron Judge,Fake,4,Aaron Judge viral deepfake
Q000006,ID000001,Aaron Judge,Fake,5,Aaron Judge synthetic face
Q000007,ID000001,Aaron Judge,Fake,6,Aaron Judge Stable Diffusion
Q000008,ID000001,Aaron Judge,Fake,7,Aaron Judge Midjourney
Q000009,ID000002,Abbie Cornish,Real,1,Abbie Cornish
Q000010,ID000002,Abbie Cornish,Fake,1,Abbie Cornish AI generated
Q000011,ID000002,Abbie Cornish,Fake,2,Abbie Cornish deepfake
Q000012,ID000002,Abbie Cornish,Fake,3,Abbie Cornish AI image
Q000013,ID000002,Abbie Cornish,Fake,4,Abbie Cornish viral deepfake
Q000014,ID000002,Abbie Cornish,Fake,5,Abbie Cornish synthetic face
Q000015,ID000002,Abbie Cornish,Fake,6,Abbie Cornish Stable Diffusion
Q000016,ID000002,Abbie Cornish,Fake,7,Abbie Cornish Midjourney
Q000017,ID000003,Abdel-Fattah-el-Sisi,Real,1,Abdel-Fattah-el-Sisi
Q000018,ID000003,Abdel-Fattah-el-Sisi,Fake,1,Abdel-Fattah-el-Sisi AI generated
Q000019,ID000003,Abdel-Fattah-el-Sisi,Fake,2,Abdel-Fattah-el-Sisi deepfake
Q000020,ID000003,Abdel-Fattah-el-Sisi,Fake,3,Abdel-Fattah-el-Sisi AI image
Q000021,ID000003,Abdel-Fattah-el-Sisi,Fake,4,Abdel-Fattah-el-Sisi viral deepfake
Q000022,ID000003,Abdel-Fattah-el-Sisi,Fake,5,Abdel-Fattah-el-Sisi synthetic face
Q000023,ID000003,Abdel-Fattah-el-Sisi,Fake,6,Abdel-Fattah-el-Sisi Stable Diffusion
Q000024,ID000003,Abdel-Fattah-el-Sisi,Fake,7,Abdel-Fattah-el-Sisi Midjourney
Q000025,ID000004,Abdulnasser-Bin-Kalban,Real,1,Abdulnasser-Bin-Kalban
Q000026,ID000004,Abdulnasser-Bin-Kalban,Fake,1,Abdulnasser-Bin-Kalban AI generated
Q000027,ID000004,Abdulnasser-Bin-Kalban,Fake,2,Abdulnasser-Bin-Kalban deepfake
Q000028,ID000004,Abdulnasser-Bin-Kalban,Fake,3,Abdulnasser-Bin-Kalban AI image
Q000029,ID000004,Abdulnasser-Bin-Kalban,Fake,4,Abdulnasser-Bin-Kalban viral deepfake
Q000030,ID000004,Abdulnasser-Bin-Kalban,Fake,5,Abdulnasser-Bin-Kalban synthetic face
Q000031,ID000004,Abdulnasser-Bin-Kalban,Fake,6,Abdulnasser-Bin-Kalban Stable Diffusion
Q000032,ID000004,Abdulnasser-Bin-Kalban,Fake,7,Abdulnasser-Bin-Kalban Midjourney
Q000033,ID000005,Adam Sandler,Real,1,Adam Sandler
Q000034,ID000005,Adam Sandler,Fake,1,Adam Sandler AI generated
Q000035,ID000005,Adam Sandler,Fake,2,Adam Sandler deepfake
Q000036,ID000005,Adam Sandler,Fake,3,Adam Sandler AI image
Q000037,ID000005,Adam Sandler,Fake,4,Adam Sandler viral deepfake
Q000038,ID000005,Adam Sandler,Fake,5,Adam Sandler synthetic face
Q000039,ID000005,Adam Sandler,Fake,6,Adam Sandler Stable Diffusion
Q000040,ID000005,Adam Sandler,Fake,7,Adam Sandler Midjourney
Q000041,ID000006,Agatha-moreira,Real,1,Agatha-moreira
Q000042,ID000006,Agatha-moreira,Fake,1,Agatha-moreira AI generated
Q000043,ID000006,Agatha-moreira,Fake,2,Agatha-moreira deepfake
Q000044,ID000006,Agatha-moreira,Fake,3,Agatha-moreira AI image
Q000045,ID000006,Agatha-moreira,Fake,4,Agatha-moreira viral deepfake
Q000046,ID000006,Agatha-moreira,Fake,5,Agatha-moreira synthetic face
Q000047,ID000006,Agatha-moreira,Fake,6,Agatha-moreira Stable Diffusion
