ID,Celebrity,Image,Type,Issue
ID000001,Aaron-Judge,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000005,Adam-Sandler,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000009,Albert-Eienstain,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000009,Albert-Eienstain,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000014,Alia-Butt,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000015,Alina-Amir,01.jpg,Real,"TIE - annotators disagreed, needs a manual look"
ID000015,Alina-Amir,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000024,Anna-Wintour,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000025,Anthony-Hopkins,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000025,Anthony-Hopkins,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000027,Antoine-Griezmann,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000029,Antonio-Guterres,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000029,Antonio-Guterres,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000030,Antony,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000031,Arnold-Schwarzenegger,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000031,Arnold-Schwarzenegger,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000033,Ashton-Kutcher,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000036,Auston-Matthews,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000037,Babar-Azam,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000039,Bashar-al-Assad,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000040,Ben-Affleck,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000043,Benedict-Cumberbatch,04.webp,Fake,"TIE - annotators disagreed, needs a manual look"
ID000045,Benjamin-Netanyahu,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000048,Bill-Paxton,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000049,Billy-Bob-Thornton,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000049,Billy-Bob-Thornton,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000052,Brad-Pitt,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000056,Burak-Özçivit,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000056,Burak-Özçivit,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000057,Caitlin-Clark,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000066,Charlize-Theron,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000069,Chlo-Grace-Moretz,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000070,Chris-Cooper,02.webp,Real,"TIE - annotators disagreed, needs a manual look"
ID000072,Christian-Bale,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000074,Christopher-Walken,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000074,Christopher-Walken,03.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000078,Cristanio-Ronaldo,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000078,Cristanio-Ronaldo,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000080,Daniel-Day-Lewis,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000081,Daniel-Radcliffe,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000081,Daniel-Radcliffe,06.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000088,Diane-Kruger,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000088,Diane-Kruger,08.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000089,Diane-Lane,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000089,Diane-Lane,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000090,Domhnall-Gleeson,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000090,Domhnall-Gleeson,06.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000092,Dwayne-Johnson,02.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000094,Dylan-Dreyer,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000098,Ellyse-Perry,3.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000099,Elon-Musk,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000099,Elon-Musk,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000101,Emma-Roberts,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000103,Emma-Watson,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000104,Emma-Mackey,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000104,Emma-Mackey,06.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000107,Ethan-Hawke,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000107,Ethan-Hawke,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000107,Ethan-Hawke,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000112,Fawad-Khan,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000114,Florian-Wirtz,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000118,Gene-Hackman,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000121,George-Clooney,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000122,Gerard-Butler,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000123,Giorgia-Meloni,03.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000125,Glenn-Maxwell,1.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000127,Gregory-Peck,03.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000129,Grard-Depardieu,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000131,Halle-Berry,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000132,Hande-Ercel,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000133,Hania-Amir,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000133,Hania-Amir,03.png,Real,"TIE - annotators disagreed, needs a manual look"
ID000135,Hardik-Panday,1.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000137,Heath-Ledger,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000137,Heath-Ledger,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000138,Helen-Mirren,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000139,Helena-Bonham-Carter,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000139,Helena-Bonham-Carter,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000144,ID000582-Nicole-Kidman,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000145,IU,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000145,IU,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000145,IU,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000148,Imane-Anys-Pokimane,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000149,Imran-Kahn,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000154,Ishan-Kishan,04.webp,Fake,"TIE - annotators disagreed, needs a manual look"
ID000156,Jack-Nicholson,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000159,Jake-Gyllenhaal,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000167,Jeff-Bridges,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000169,Jennie,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000171,Jennifer-Connelly,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000171,Jennifer-Connelly,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000171,Jennifer-Connelly,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000173,Jennifer-Lopez,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000175,Jessica-Biel,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000175,Jessica-Biel,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000175,Jessica-Biel,07.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000177,Jim-Carrey,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000180,Joaquin-Phoenix,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000180,Joaquin-Phoenix,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000180,Joaquin-Phoenix,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000180,Joaquin-Phoenix,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000181,Jodie-Foster,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000184,John-Malkovich,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000187,John-Wayne,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000190,Jon-Stewart,11.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000192,Josh-Brolin,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000192,Josh-Brolin,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000193,Josh-Hartnett,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000194,Josh-Hutcherson,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000198,Jungkook,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000198,Jungkook,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000199,Justin-Timberlake,03.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000199,Justin-Timberlake,03.jpg,Real,"TIE - annotators disagreed, needs a manual look"
ID000201,Kate-Beckinsale,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000202,Kate-Winslet,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000203,Katharine-Hepburn,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000204,Kathy-Bates,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000207,Keira-Knightley,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000207,Keira-Knightley,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000209,Kevin-Bacon,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000210,Kevin-Costner,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000213,Kevin-Xu,01.webp,Real,"TIE - annotators disagreed, needs a manual look"
ID000214,Kiefer-Sutherland,04.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000214,Kiefer-Sutherland,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000220,Lady-gagga,01.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000223,Laura-Wolvaardt,03.jpg,Real,"TIE - annotators disagreed, needs a manual look"
ID000223,Laura-Wolvaardt,730732270_2118144989085113_1710785244193473374_n.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000227,Liam-Hemsworth,03.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000227,Liam-Hemsworth,04.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000237,Marc-Benioff,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000239,Margot-Robie,02.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000239,Margot-Robie,05.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000240,Maria-Corina-Machado,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000241,Marilyn-Monroe,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000241,Marilyn-Monroe,03.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000246,Marlon-Brando,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000247,Marques-Brownlee-MKBHD,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000248,Martin-Lewis,06.png,Fake,"TIE - annotators disagreed, needs a manual look"
ID000249,Martin-Ødegaard,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
ID000253,Matthew-Broderick,01.jpg,Fake,"TIE - annotators disagreed, needs a manual look"
